cod_orgao,nom_orgao,sgl_orgao,cod_upce,nom_upce
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150062,QG- PBM TIJUCAS               
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150040,QG- GBM PINHALZINHO           
4111,AGENCIA DE DES. DO TURISMO DE S.C. - SANTUR       ,SANTUR,41110001,ALMOX GERAL SANTUR            
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090034,"34 ""PA"" - 5/3/1 BBM/LAGUNA    "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090039,"39 ""PA"" - 1ª RPM/FPOLIS       "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150061,QG- GBM XAXIM                 
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040025,"25 ""PL"" -  2 BBM/CURITIBANOS  "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090052,"52 ""PA"" -  24 BPM/BIGUAÇU     "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150075,QG- GBM BRUSQUE - AGUAS CLARAS
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040099,"99 ""PL"" 5ª/2ºBPM-SÃO L. OESTE "
